ticker,model,distribution,aic,bic,log_likelihood,num_params,n_obs,param_mu,param_omega,param_alpha[1],param_beta[1],param_nu,param_eta,param_lambda,param_gamma[1],param_phi,param_d,param_beta
SAP,"EGARCH(1,1)",skewt,9058.701398476995,9099.52827496731,-4522.350699238497,7,2521,0.0339140201402411,0.03021790236048471,0.11638784492301313,0.9760991242476043,,4.398566096349855,-0.09419954837014734,-0.07070755335333377,,,
SAP,"EGARCH(1,1)",ged,9155.719335407217,9190.713800970345,-4571.8596677036085,6,2521,0.073235462343659,0.0268814393627703,0.11072412881309662,0.977151040148132,1.1173389440239807,,,-0.07116077756589011,,,
SAP,"FIGARCH(1,d,1)",normal,9710.951638400586,9740.113693036525,-4850.475819200293,5,2521,0.07528363156028857,0.484754795605228,,,,,,,0.009873451185830466,0.2803554776348688,0.2902289288206993
SAP,"FIGARCH(1,d,1)",t,9106.366873262548,9141.361338825676,-4547.183436631274,6,2521,0.08986923594651279,0.26306979179291246,,,4.24592390367304,,,,0.25020242072066484,0.2691107471837207,0.4578509510054906
SAP,"FIGARCH(1,d,1)",skewt,9099.137916664171,9139.964793154486,-4542.5689583320855,7,2521,0.05281641603326756,0.252350075723209,,,,4.282494535952162,-0.08338643241112471,,0.2557141956765058,0.27304842983708777,0.46851055225816446
SAP,"FIGARCH(1,d,1)",ged,9196.000655094469,9230.995120657597,-4592.0003275472345,6,2521,0.09657618147071687,0.31856096099212045,,,1.0928734526964132,,,,0.1538062694337799,0.25705573613124993,0.3700378012253923
PANW,"GARCH(1,1)",normal,11652.542347149214,11675.871990857966,-5822.271173574607,4,2521,0.09034439522455567,1.1458914996329637,0.027252369453949696,0.7826764961970408,,,,,,,
PANW,"GARCH(1,1)",t,10763.014401788078,10792.176456424017,-5376.507200894039,5,2521,0.16007599232905206,1.1136017116278774,0.12370463644590651,0.6869291101199878,3.5024494318692447,,,,,,
PANW,"GARCH(1,1)",skewt,10756.352441701965,10791.346907265093,-5372.176220850983,6,2521,0.0949478351729379,1.1204733070370407,0.12404353176830961,0.6839367085708812,,3.5386073202289015,-0.083247848262636,,,,
PANW,"GARCH(1,1)",ged,10896.96526831057,10926.12732294651,-5443.482634155285,5,2521,0.1625149828709048,1.051849362903759,0.08138173695315622,0.7165407725465324,1.0100000000000187,,,,,,
PANW,"GJR-GARCH(1,1)",normal,11617.467089046604,11646.629143682543,-5803.733544523302,5,2521,0.07503625736983134,1.5791735600788797,0.0,0.6850708690795587,,,,0.10692065619059664,,,
PANW,"GJR-GARCH(1,1)",t,10745.417089308054,10780.411554871182,-5366.708544654027,6,2521,0.1488613304863351,0.9429227714925236,0.020116742056803735,0.7238488561038005,3.617263872594336,,,0.1727605300488636,,,
PANW,"GJR-GARCH(1,1)",skewt,10736.890223626173,10777.717100116488,-5361.445111813086,7,2521,0.0801389879964976,0.9539233248448508,0.018762010574793892,0.7227617324693528,,3.6478731369949977,-0.09192162592551326,0.18070653674533288,,,
PANW,"GJR-GARCH(1,1)",ged,10877.536845968843,10912.531311531971,-5432.768422984422,6,2521,0.1527475940263707,0.9303852153795528,0.0013385656885569715,0.7429393832588839,1.012934298945525,,,0.14748765010491643,,,
PANW,"EGARCH(1,1)",normal,11580.918732548911,11610.08078718485,-5785.4593662744555,5,2521,0.07724640908306268,0.3172470811200045,0.028851359281009695,0.8209946213015197,,,,-0.14614537344513695,,,
PANW,"EGARCH(1,1)",t,10722.64206092656,10757.636526489689,-5355.32103046328,6,2521,0.14177891166998638,0.10591967046473577,0.1152256502785408,0.9402678106582129,3.6350494704109924,,,-0.06495593129526282,,,
PANW,"EGARCH(1,1)",skewt,10712.740117028156,10753.56699351847,-5349.370058514078,7,2521,0.06686055491163066,0.10307160066151054,0.11146946005317186,0.9432117657067005,,3.6624358617888224,-0.09938219016648128,-0.06645029869187492,,,
PANW,"EGARCH(1,1)",ged,10863.17041789071,10898.164883453837,-5425.585208945355,6,2521,0.1437063830229199,0.15691546232345863,0.10467694319236717,0.9059818519822789,1.0138075174107217,,,-0.08577900501439961,,,
PANW,"FIGARCH(1,d,1)",normal,11658.694552841918,11687.856607477857,-5824.347276420959,5,2521,0.09088772389849381,3.024172392950451,,,,,,,0.5,0.0,0.4461405919499065
PANW,"FIGARCH(1,d,1)",t,10763.650502447155,10798.644968010283,-5375.825251223578,6,2521,0.16262767140598874,1.4631104208214862,,,3.48443112119911,,,,0.44847902020252123,0.10304195959496025,0.3899282036093627
PANW,"FIGARCH(1,d,1)",skewt,10757.526157774872,10798.353034265187,-5371.763078887436,7,2521,0.09895617275390928,1.456423010878842,,,,3.523588265864433,-0.08101385504516213,,0.4494394286420487,0.10112114271598155,0.3929308120205921
PANW,"FIGARCH(1,d,1)",ged,10901.041162862966,10936.035628426094,-5444.520581431483,6,2521,0.1625143133341346,1.799094434204687,,,1.01,,,,0.47412104390108417,0.051757912197832705,0.40707171531580705
CRWD,"GARCH(1,1)",normal,8900.370208158762,8922.11196023802,-4446.185104079381,4,1695,0.1722748290950263,0.9508773472660711,0.09083497142254092,0.8281360362668646,,,,,,,
CRWD,"GARCH(1,1)",t,8781.3569803877,8808.534170486773,-4385.67849019385,5,1695,0.1912532590495621,0.43340804252169146,0.06901055961497835,0.8964222563426589,5.0623107909864045,,,,,,
CRWD,"GARCH(1,1)",skewt,8779.391138920304,8812.003767039192,-4383.695569460152,6,1695,0.12991211024931548,0.4037728148026308,0.06705092164926113,0.9006390789192907,,5.0771207181809155,-0.0668233690166424,,,,
CRWD,"GARCH(1,1)",ged,8793.73732149988,8820.914511598954,-4391.86866074994,5,1695,0.20083978541204597,0.6429412699358455,0.07974939757035364,0.8645660417508704,1.2736103598908708,,,,,,
CRWD,"GJR-GARCH(1,1)",normal,8862.461725834972,8889.638915934045,-4426.230862917486,5,1695,0.09503266276856934,0.45759350349112027,0.0,0.9101781285358935,,,,0.09786691881626082,,,
CRWD,"GJR-GARCH(1,1)",t,8755.154185878593,8787.766813997481,-4371.577092939297,6,1695,0.14476392457504172,0.2932103474414165,0.00011413235438382613,0.926662899224241,5.460322232118369,,,0.09456431848126898,,,
CRWD,"GJR-GARCH(1,1)",skewt,8752.526183741988,8790.574249880689,-4369.263091870994,7,1695,0.08426491424021287,0.2840588206645177,0.00011351073972935263,0.9289396674828307,,5.435019790120137,-0.07240993591262565,0.09427258891617611,,,
CRWD,"GJR-GARCH(1,1)",ged,8768.535627397974,8801.148255516862,-4378.267813698987,6,1695,0.15686766179446518,0.3340803129838061,1.1697018437429735e-18,0.9223534097620945,1.3065381897227033,,,0.09221228205157567,,,
CRWD,"EGARCH(1,1)",normal,8862.942112488869,8890.119302587942,-4426.471056244434,5,1695,0.08798095859728444,0.10843898678284665,0.10172599947937479,0.9564211413760931,,,,-0.08800018394545377,,,
CRWD,"EGARCH(1,1)",t,8750.327014441638,8782.939642560526,-4369.163507220819,6,1695,0.12998150954746712,0.07860372032620433,0.11618917744677468,0.9689635998630051,5.443202885833309,,,-0.08865235404649768,,,
CRWD,"EGARCH(1,1)",skewt,8747.695803048864,8785.743869187565,-4366.847901524432,7,1695,0.06970152907527943,0.08068482507847845,0.11763992432466679,0.9689339818901131,,5.385674415902926,-0.07290975291291969,-0.08899562149966238,,,
CRWD,"EGARCH(1,1)",ged,8766.361194642051,8798.97382276094,-4377.180597321026,6,1695,0.14945734684438455,0.08608282107687916,0.10813579866064361,0.9649004923225385,1.3037713827078095,,,-0.08603234356158575,,,
DDOG,"GARCH(1,1)",normal,8762.222358074276,8783.797871234707,-4377.111179037138,4,1626,0.14958066668946,1.584404641069499,0.11539174089535849,0.774171338834591,,,,,,,
DDOG,"GARCH(1,1)",t,8509.219300209275,8536.188691659814,-4249.609650104638,5,1626,0.10222792713302466,0.04164820127871169,0.024711567195045202,0.9729225753658266,4.024009218523607,,,,,,
DDOG,"GARCH(1,1)",skewt,8510.94851379273,8543.311783533376,-4249.474256896365,6,1626,0.08152361395130948,0.04068213559397719,0.02431458279491401,0.9733680014259493,,4.01690432637682,-0.01771682665018682,,,,
DDOG,"GARCH(1,1)",ged,8545.758174178696,8572.727565629235,-4267.879087089348,5,1626,0.11502614092011977,0.8376910806661417,0.10486787009083341,0.8359850717455994,1.1233362156238047,,,,,,
DDOG,"GJR-GARCH(1,1)",normal,8749.670493400943,8776.639884851482,-4369.8352467004715,5,1626,0.10089783665563389,1.4259367371243712,0.039649881823064614,0.8016107564805884,,,,0.11553805676790695,,,
DDOG,"GJR-GARCH(1,1)",t,8489.935385503253,8522.2986552439,-4238.967692751627,6,1626,0.09331071883794312,0.10054715088252336,0.0013552257498875707,0.96380606371851,4.175013094189719,,,0.058619555988687566,,,
